Filename,Norm,All,CRC32Norm,CRC32All,Pack Hdr,MD5
sony120.opk,0022E801,0022ED4C,3929837C,AF30A08E,5891,151dbd46ddf8cfac7c589e8d978e91f5
sony130.opk,00215B8B,00216007,2EB9C5FE,9E32000A,5893,bcae7e501008195d49eecc2aa0d34145
sony140.opk,002145CD,00214A82,99FD3499,99410C29,58B9,1fe4a01312b7903238cf2016c9966e7e
sony150.opk,00212394,002128E9,C2ADAB8E,5F693124,58BD,ba068cc7686e4ade877ca86e8b86a764
sony160.opk,00205AD9,00206085,34DB568A,70D08065,58BF,4c8f99f52c852d952a014aa6877d239b
sony170.opk,003B6EBF,003B7380,CD8C66CB,829142A0,58C1,8a1a71f21946fb1adb15b910e010e8f8
sony180.opk,002C9B82,002CA047,62EF850C,12DAC96C,58C3,a6901743296cd996b228d664ae4cd679
sony190.opk,0029E5B9,0029EA82,BD79E11D,ACFD2E84,58C5,1a9abe4892d5b371b6c8259b1b26f9f4
sony200.opk,001C52BE,001C5808,6585989A,AEA488AF,58C7,163226b84c8a3ee93c9768bd43870d43
sonyprm1.opk,000AF520,000AF9A2,7DF8FE30,2983982E,58B3,0a762da9d1450889a159601baed3e1d5
speech.opk,001B63E0,001B68B2,16ED2606,7C227B1F,7FE5,0511da5f3bc97a0ccfd288d79ffaa438
spllchk1.opk,0083D7E3,0083DD40,2ABBD403,39348A17,4835,8022ce6c5efc48d609653f34460ddc00
spllchk2.opk,00831292,0083180E,03DC5590,8D23CB58,6735,81dd975e4a9d65d742670278a0e3e5d1
sprdsht_v12.opk,0034C05B,0034C550,EA820BE7,3EAF213F,59AD,ee179d2d630b8be591b5f82ed29ebd5d
sprdsht_v13.opk,0034DD3C,0034E278,D21C6F91,435E34AB,5AAD,fb545ed7809967549d0334117964152e
sprdsht_v33.opk,0038579F,00385D8C,6E5743E0,28E2FCDB,9AAD,21441d3b1a4dcb4e959bb27ab6469936
sprdsht_v34.opk,00385946,00385FC7,7B1E5DF5,6AFC6DCC,7BAD,1ddd8fea0428fcb59cbac334861fec58
swipe20.opk,000117C0,00011D8C,1B3E1D41,A7D1D051,6499,c64eefaea3bc96ff36c131f7a271922e
textbase.opk,0011B8C0,0011BC82,70F73F30,84DCBDE2,FF24,f1a6caf0302a5b2e04e7d50aa447884e
thesaurus.opk,02073EF4,02074261,EB499A09,B24CA0AF,522F,15c3ad12f62b0c98acaa01fa02ff7b3d
tidal30.opk,000CBA9F,000CBEEF,476338C5,A06DEA13,19CC,8b3af4cf19365c92cfeaed27e22b6e74
tidal30d.opk,0009A807,0009ABB5,F7C98531,F5F0A14A,0E6C,51d4d2019ff007bafc6c7cde82e57ce9
